date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,HP,0,0,8,8,manual,Correa
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,H,0,1,6,7,manual,Correa
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,F,0,15,305,320,manual,Correa
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,HP,0,4,19,23,manual,Correa
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,H,0,0,6,6,auto,Correa
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,F,3,2,230,235,auto,Correa
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,HP,0,0,21,21,auto,Correa
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,H,0,0,5,5,manual,Correa
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,F,2,1,213,216,manual,Correa
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,HP,1,0,28,29,manual,Correa
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,H,0,0,7,7,manual,Correa
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,F,0,2,187,189,manual,Correa
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,HP,0,0,29,29,manual,Correa
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,H,0,0,5,5,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,F,2,8,296,306,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,HP,0,0,24,24,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,H,0,0,4,4,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,F,1,4,149,154,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,HP,0,1,17,18,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,H,0,0,6,6,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,F,0,4,388,392,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,HP,0,0,28,28,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,H,0,0,6,6,auto,Correa
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,F,1,6,248,255,auto,Correa
