dictionary,dv,segment,lag_k,add_ar1,beta,se_hac_q4,t,p,const,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,N
Correa,d_psei_30d_vol_log,F_L,1,True,-0.005150309719857574,0.007301278892995762,-0.7053983001249756,0.4805624015782006,0.021515926434297696,0.01047218645260306,-0.02364946229041065,61,2020-01-06,2020-04-17,4,3,0.14460297889245835,0.5361800377320632,61
Correa,d_psei_30d_vol_log,F_L,3,True,-0.00494041150575422,0.006507906252863667,-0.7591399313074457,0.4477688544687759,0.021009869827499292,0.01198541206055348,-0.022084056489082737,61,2020-01-06,2020-04-17,4,3,0.13710464421990176,0.5171808166393713,61
Correa,d_psei_30d_vol_log,HP_L,0,True,-0.004490291874478048,0.006844322492553959,-0.6560608269647,0.511784987784263,0.021165547888384345,0.009469904189623235,-0.024686306010734738,61,2020-01-06,2020-04-17,4,3,0.129210619011643,0.4967937430421977,61
Correa,d_psei_30d_vol_log,HP_L,1,True,0.0018274305248661613,0.007062198351989136,0.25876227681306174,0.7958186654881176,0.020862837580619572,0.004895707651994763,-0.029418233463453847,61,2020-01-06,2020-04-17,4,3,0.10766150112086381,0.4643796889149465,61
Correa,d_psei_30d_vol_log,HP_L,3,True,-0.005836286927266252,0.005645867481318372,-1.0337272255464656,0.3012637015623847,0.02081748716915144,0.015365409720836665,-0.018587507185341412,61,2020-01-06,2020-04-17,4,3,0.1280243761569461,0.5273475060556738,61
Correa,d_psei_30d_vol_log,H_L,0,True,-0.0036500691707807486,0.004730376076171748,-0.7716234633367074,0.44033747335654994,0.02120070126609143,0.008355810112568807,-0.02583881712492886,61,2020-01-06,2020-04-17,4,3,0.1143797595803489,0.48685354544496806,61
Correa,d_psei_30d_vol_log,H_L,1,True,0.0026858131984762224,0.00464882118239737,0.5777406987917665,0.5634391972917587,0.020802129085969814,0.006326706568398843,-0.02793788975682876,61,2020-01-06,2020-04-17,4,3,0.10773553643104071,0.4704403254288978,61
Correa,d_psei_30d_vol_log,H_L,3,True,-0.002688539830829546,0.005517577495787785,-0.4872681594199672,0.6260683088259855,0.021045778291798697,0.006409228233853592,-0.027852522516703226,61,2020-01-06,2020-04-17,4,3,0.13488465290788926,0.5315338760594873,61
Correa,cds_logdiff,F_L,0,False,-0.030080433440995143,0.01186058077116026,-2.53616867684402,0.011207273774339443,0.010616432018982285,0.06555540671364912,0.05309614546983099,77,2020-01-02,2020-04-17,4,3,0.06943794676380882,0.26556461870512627,77
Correa,cds_logdiff,F_L,1,False,0.00011347658703336222,0.007378559878078985,0.015379232385236936,0.9877296316242611,0.01174281337719081,1.0466087122518175e-06,-0.013332272769838394,77,2020-01-02,2020-04-17,4,3,0.062320379666347986,0.22733406459647587,77
Correa,cds_logdiff,HP_L,0,False,-0.026814292002409264,0.011329236077450436,-2.366822601197276,0.017941530337362205,0.011486387683692461,0.05807567663869151,0.04551668566054068,77,2020-01-02,2020-04-17,4,3,0.03779247357937158,0.13517142174092034,77
Correa,cds_logdiff,HP_L,1,False,0.0011610387671187848,0.009427167180421275,0.12315881800951588,0.901981335703475,0.011745066075679466,0.00010964449421091427,-0.013222226912533053,77,2020-01-02,2020-04-17,4,3,0.0630231333524991,0.22868898096533335,77
Correa,cds_logdiff,H_L,0,False,-0.02038292203079144,0.011515089721292594,-1.7701053595006997,0.07670959090523742,0.012047541959538876,0.033211990501907374,0.02032148370859943,77,2020-01-02,2020-04-17,4,3,0.03428960976769496,0.12643135392164032,77
Correa,cds_logdiff,H_L,1,False,-0.002954268114657675,0.006589226834340242,-0.4483482188321836,0.6539019060825213,0.011738200085365467,0.0007098763529216345,-0.012613991962372895,77,2020-01-02,2020-04-17,4,3,0.06106828652642038,0.2207575512464357,77
Correa,cds_logdiff,F_L,0,True,-0.03444604600242819,0.013614279720039469,-2.5301409043128085,0.011401672837947234,0.012318120809091457,0.09374348400164634,0.06891453835785577,76,2020-01-03,2020-04-17,4,3,0.3164839275567484,0.7223151834060602,76
Correa,cds_logdiff,F_L,1,True,-0.0023266957466727967,0.0080579199139208,-0.2887464471635186,0.7727754161358377,0.013539017420085082,0.013889052503588406,-0.0131276857839846,76,2020-01-03,2020-04-17,4,3,0.19432939801552543,0.5150188428215716,76
Correa,cds_logdiff,HP_L,0,True,-0.029938613999757512,0.011577508087291766,-2.585929007695542,0.009711693108273387,0.013878985704928015,0.08386325687647844,0.05876362007857361,76,2020-01-03,2020-04-17,4,3,0.17990578059953072,0.4815266416590034,76
Correa,cds_logdiff,HP_L,1,True,-0.0017633943598405278,0.008492360681149546,-0.207644779355018,0.8355063374494983,0.01358323116989818,0.01375964042700617,-0.013260643396911576,76,2020-01-03,2020-04-17,4,3,0.18779773937116115,0.5001422029519506,76
Correa,cds_logdiff,H_L,0,True,-0.02347313381804876,0.01174108119465764,-1.9992310272693945,0.04558336293458222,0.014368243637848629,0.0561827391858728,0.03032473204028019,76,2020-01-03,2020-04-17,4,3,0.13957970730726862,0.41090920528505415,76
Correa,cds_logdiff,H_L,1,True,-0.006010062390250626,0.006121605529559397,-0.9817787770266865,0.3262088458683948,0.013757384690426906,0.016316834736412766,-0.010633388969438995,76,2020-01-03,2020-04-17,4,3,0.1943059547071386,0.5004974811977121,76
Correa,fx_ret,F_L,0,False,0.0002496915165108702,0.00034096185177873205,0.7323151115242889,0.463976257913974,0.00019164948721681885,0.005351228446300871,-0.009951060346832907,67,2020-01-03,2020-04-17,4,3,0.10711368150364864,0.22580337438016695,67
Correa,fx_ret,F_L,1,False,0.0004032950222775664,0.00026327445882512115,1.5318425648932898,0.12556128951549533,0.00017359557357250782,0.01432378619698682,-0.0008404632461365136,67,2020-01-03,2020-04-17,4,3,0.11659710648530923,0.2267451910763166,67
Correa,fx_ret,HP_L,0,False,-0.00015738516409799673,0.0002742909961481569,-0.5737890281057054,0.5661105742959982,0.0001939641039918082,0.002157036581485361,-0.013194393624953227,67,2020-01-03,2020-04-17,4,3,0.15264366353132766,0.23945468706766604,67
Correa,fx_ret,HP_L,1,False,0.0003405263295322033,0.0003830622418327631,0.8889582223059977,0.37402553291739793,0.00017892773771489476,0.010735938459202288,-0.004483508641425216,67,2020-01-03,2020-04-17,4,3,0.1810554872336208,0.3590919426368987,67
Correa,fx_ret,H_L,0,False,-0.00010596260133580609,0.0002548256430341724,-0.41582393386365907,0.6775388439422017,0.0001900902871696608,0.001185356606546284,-0.014181022522583797,67,2020-01-03,2020-04-17,4,3,0.1432296080855516,0.2390457502669347,67
Correa,fx_ret,H_L,1,False,0.00037870206410245676,0.0003758235201697353,1.007659296925912,0.31361805164266787,0.00017099216583080906,0.01482661449094147,-0.00032989913227465806,67,2020-01-03,2020-04-17,4,3,0.22019268266404915,0.374817894094104,67
Correa,d_vix_log,F_L,0,False,-0.01656309095841082,0.01636341833607298,-1.0122023783928853,0.31144129925607755,0.013131776143021594,0.01610917266732692,0.001640189912434753,70,2020-01-03,2020-04-17,4,3,0.20206139766684555,0.05304087609834939,70
Correa,d_vix_log,F_L,1,False,-0.0031390664759467796,0.01643258734803478,-0.19102691557103998,0.8485045058658739,0.013859825750778217,0.0005033113689056901,-0.014195169346257419,70,2020-01-03,2020-04-17,4,3,0.18168734208784035,0.07634375166271459,70
