date,psei_ret,fx_ret,d_psei_10d_vol_log,d_psei_30d_vol_log,d_vix_log,cds_logdiff,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP,dictionary,z_H,z_F,z_HP,z_H_L,z_F_L,z_HP_L
2020-02-28,-0.026162189,0.00173024,0.055936219,0.028352415,0.023969862,0.215700474,-0.12962963,-0.016770671,-0.058441558,-0.122807018,-0.016751071,-0.057324841,8,54,2564,154,Correa,-2.209551144,-0.513709805,-1.403180455,-2.287900966,-0.5146129,-1.419097355
2020-03-02,-0.005707108,-0.005199728,-0.041746423,-0.027481334,-0.182471157,-0.024458493,-0.02739726,-0.027720028,-0.040462428,-0.026315789,-0.027700831,-0.039772727,13,73,4329,173,Correa,0.123222651,-1.757816638,-0.746915513,0.105717884,-1.761368548,-0.758780458
2020-03-03,0.006094339,0.001184133,0.031297007,0.002608697,0.096886653,-0.102265635,-0.046875,-0.013623188,-0.035,-0.044776119,-0.013611352,-0.034482759,10,64,3450,200,Correa,-0.321227198,-0.156081032,-0.54752878,-0.352220048,-0.157119915,-0.559769942
2020-03-04,0.011235163,-0.002824498,0.009062453,0.016792644,-0.140617822,0.046000916,-0.022222222,-0.012567838,-0.022082019,-0.021505376,-0.012557078,-0.021875,13,90,3501,317,Correa,0.241308469,-0.036168224,-0.076003292,0.225047852,-0.037078739,-0.085461474
2020-03-05,0.002546243,0.000711814,0.001386963,-0.04319101,0.213910687,-0.001739819,0,-0.005192108,-0.024390244,0,-0.005188067,-0.024096386,10,62,3852,246,Correa,0.748382864,0.801889764,-0.160256932,0.758523007,0.801967604,-0.169030821
2020-03-06,-0.016754658,0.001007537,0.010341354,0.013286289,0.056905984,0.16510384,-0.073170732,-0.025675077,-0.051282051,-0.068181818,-0.025641026,-0.050505051,7,41,2259,195,Correa,-0.921252362,-1.525461669,-1.141847819,-0.932835746,-1.526836146,-1.162534381
2020-03-09,-0.070008006,-0.001165674,0.399733119,0.281171705,0.261226462,0.471137482,-0.069306931,-0.024793388,-0.056338028,-0.067307692,-0.024774194,-0.055749129,15,101,3872,284,Correa,-0.833086806,-1.425280872,-1.326398487,-0.911151656,-1.42813739,-1.359818498
2020-03-10,0.000913626,-0.001483753,-0.051426425,-0.002327516,-0.140956192,-0.2206958,-0.041666667,-0.014685117,-0.006944444,-0.04,-0.014672686,-0.006802721,11,72,3541,144,Correa,-0.202381644,-0.276741371,0.476540674,-0.233740797,-0.277964952,0.481563131
2020-03-11,0.005505694,0.000633337,-0.00948566,0.005312097,0.130620182,0.128664661,0,-0.006704981,0.014492754,0,-0.006695361,0.014184397,7,36,2088,138,Correa,0.748382864,0.629991484,1.259030233,0.758523007,0.63034491,1.271106126
2020-03-12,-0.102159208,0.006075449,0.451162783,0.325771861,0.336604748,0.425375954,-0.020408163,-0.016841147,-0.018867925,-0.019230769,-0.016818182,-0.018348624,8,49,2197,106,Correa,0.282702299,-0.521717551,0.041315912,0.281473107,-0.522254257,0.047202071
2020-03-13,0.010003543,0.003298389,0.02414202,0,-0.266227554,-0.164079286,-0.037735849,-0.015022389,-0.020253165,-0.037037037,-0.015015882,-0.020100503,24,159,6923,395,Correa,-0.11268687,-0.315063475,-0.009247405,-0.160239774,-0.317041749,-0.018704253
2020-03-16,-0.082454293,0.009209102,0.098041178,0.126484147,0.357591004,0.103355695,-0.048387097,-0.016273247,-0.011725293,-0.047244094,-0.016264522,-0.011666667,19,124,5592,597,Correa,-0.355730754,-0.457190632,0.302032586,-0.413442104,-0.459213721,0.298579718
2020-03-17,0,,,,-0.085550248,0.04348087,-0.042105263,-0.012530768,-0.032352941,-0.040816327,-0.012522361,-0.032069971,14,95,4469,340,Correa,-0.21238968,-0.031956192,-0.450907196,-0.253991091,-0.033125811,-0.468999982
2020-03-18,,,,,0.007088504,0.07918371,0,-0.006543075,0.013262599,0,-0.00653951,0.013157895,21,127,5502,377,Correa,0.748382864,0.648387848,1.214127748,0.758523007,0.648090332,1.232488748
2020-03-19,,-0.000586912,,,-0.059970813,0.083972528,-0.082352941,-0.024457268,-0.04797048,-0.079545455,-0.024437122,-0.047445255,13,85,3639,271,Correa,-1.130775203,-1.387089662,-1.02097056,-1.214728888,-1.38975788,-1.047423745
2020-03-20,0.033046394,-0.004314578,0.066691374,0.015341439,-0.0864055,-0.059137305,-0.009433962,-0.015966047,-0.022346369,-0.009174312,-0.015956372,-0.022160665,16,106,4948,358,Correa,0.533115436,-0.422285421,-0.085652459,0.530939564,-0.424127313,-0.096208295
2020-03-23,-0.007433453,0.008513188,0.008768409,-0.014853357,-0.069761099,0.162469044,-0.022556391,-0.012235051,-0.02617801,-0.022058824,-0.012228729,-0.025974026,21,133,5803,382,Correa,0.233683285,0.001644278,-0.225513045,0.211318692,0.000307557,-0.239668319
2020-03-24,0.006493018,-0.007275746,0.008994048,0.002923504,0.001298069,-0.280449917,-0.020833333,-0.012367946,-0.007751938,-0.02020202,-0.012358393,-0.007662835,14,96,3881,258,Correa,0.273000622,-0.013455748,0.447065943,0.257379677,-0.014456175,0.449205331
2020-03-25,0.051733872,0.00473916,0.08371958,0.050749845,0.036303939,-0.219488173,-0.012048193,-0.007057678,-0.014492754,-0.011627907,-0.007052529,-0.014336918,13,83,4109,276,Correa,0.473463003,0.589916734,0.20101615,0.470074226,0.589677241,0.198123906
2020-03-26,0.071716178,-0.001329397,0.100360992,0.070522968,-0.047227664,-0.018176304,0,-0.009389671,0.011730205,0,-0.009383664,0.011627907,19,115,4686,341,Correa,0.748382864,0.32494698,1.158193092,0.758523007,0.324250809,1.174930045
2020-03-27,-0.025302153,-0.001801414,-0.096113917,0.001722406,0.071786779,-0.036366189,0,-0.006045949,-0.010204082,0,-0.006035003,-0.00990099,6,33,1654,98,Correa,0.748382864,0.704873161,0.357559046,0.758523007,0.705534235,0.365005127
2020-03-30,-0.026057226,-0.001765399,-0.003414705,-0.000143421,-0.138206851,0.161618858,-0.117021277,-0.013930723,-0.074576271,-0.113402062,-0.01392286,-0.073825503,18,94,5312,295,Correa,-1.921849358,-0.191024307,-1.992121438,-2.05459603,-0.19258867,-2.039858247
2020-03-31,0.036372725,-0.004644124,-0.056381073,0.021426857,-0.064024755,-0.100320588,-0.0625,-0.012030623,-0.023809524,-0.060240964,-0.01201748,-0.023474178,11,80,2743,210,Correa,-0.677763886,0.024872151,-0.139059789,-0.735850196,0.024360677,-0.14562313
2020-04-01,0.016271008,0.004153181,-0.626739808,0.003923222,0.063674308,0.086722413,-0.092592593,-0.020511096,-0.05027933,-0.087719298,-0.020490427,-0.049450549,9,54,2974,179,Correa,-1.364427145,-0.938710862,-1.105247013,-1.417494102,-0.94038143,-1.122863633
2020-04-02,-0.012317531,-0.000982608,0.021907276,-0.000839396,-0.114043978,0.000667205,-0.041666667,-0.014681348,-0.027522936,-0.04,-0.014666667,-0.027149321,12,72,2997,218,Correa,-0.202381644,-0.276313123,-0.274604841,-0.233740797,-0.27727962,-0.283883344
