date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,F,4,8,245,257,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,HP,1,2,24,27,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,H,0,0,9,9,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,F,2,1,225,228,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,HP,0,0,40,40,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,H,0,2,4,6,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,F,6,9,172,187,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,HP,0,5,17,22,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,H,0,0,6,6,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,F,7,9,227,243,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,HP,0,0,7,7,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,H,0,0,7,7,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,F,1,1,262,264,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,HP,0,0,24,24,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,H,0,1,5,6,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,F,6,8,429,443,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,HP,0,1,7,8,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,H,1,0,5,6,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,F,3,6,179,188,auto,LM
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,HP,3,0,13,16,auto,LM
2020-01-20,Philippine Star,https://www.philstar.com/business/2020/01/20/1986363/taal-eruptions-impact-economy-likely-small-neda,H,0,0,7,7,auto,LM
