dictionary,dv,segment,lag_k,family,add_ar1,beta,se_hac_q4,t,p,q_bh,reject_bh,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,m_tests,alpha_bh,N,const
LM,psei_ret,H_L,0,diagnostic_k0,False,0.003580092110725072,0.0022879888570030717,1.5647331934188111,0.11764548199884121,0.11764548199884121,False,0.01695485762767046,0.002282542069874438,69,2020-01-03,2020-04-17,4,3,0.2938047095121505,0.7016698339660224,1.0,0.05,69,-0.0019368366762288786
LM,d_psei_10d_vol_log,F_L,1,prediction_k1_5,False,0.003911469007879947,0.0187648411762772,0.20844668873749309,0.8348802045049448,0.8945145048267266,False,0.0005549372925245377,-0.01582940799776189,63,2020-01-08,2020-04-17,4,3,0.9848018168886816,0.7233138345078504,15.0,0.05,63,0.012522236489792832
LM,d_psei_10d_vol_log,F_L,2,prediction_k1_5,False,-0.004866653178686947,0.011330276795002883,-0.42952641552705406,0.667540174484927,0.8945145048267266,False,0.0008720380861242383,-0.015507108830496774,63,2020-01-08,2020-04-17,4,3,0.983978836574987,0.7443021447976453,15.0,0.05,63,0.012183427730204713
LM,d_psei_10d_vol_log,F_L,3,prediction_k1_5,False,-0.022437247050111166,0.020044544000366867,-1.1193692931952208,0.262982625339354,0.788947876018062,False,0.02036857153787275,0.004309039923739544,63,2020-01-08,2020-04-17,4,3,0.9789666024943636,0.6898964493249259,15.0,0.05,63,0.0116819112197107
LM,d_psei_10d_vol_log,F_L,4,prediction_k1_5,False,-0.011303449937063639,0.017981083793075708,-0.6286300685288201,0.5295912703617807,0.8945145048267266,False,0.00497827272033069,-0.011333558874418115,63,2020-01-08,2020-04-17,4,3,0.9881195023026325,0.7730055751825059,15.0,0.05,63,0.011808242387779045
LM,d_psei_10d_vol_log,F_L,5,prediction_k1_5,False,-0.021320869294600732,0.014775144734780848,-1.4430227031489702,0.14901407587881088,0.788947876018062,False,0.018700740526954918,0.0026138674208393553,63,2020-01-08,2020-04-17,4,3,0.9806986313928282,0.7378374003997832,15.0,0.05,63,0.013005906304370913
LM,d_psei_10d_vol_log,HP_L,1,prediction_k1_5,False,-0.0004291311646989829,0.02301686612969252,-0.018644204744510784,0.9851249386685798,0.9851249386685798,False,6.564926076646493e-06,-0.016386770075135226,63,2020-01-08,2020-04-17,4,3,0.9829621370904921,0.7269638306418255,15.0,0.05,63,0.012351738860477895
LM,d_psei_10d_vol_log,HP_L,2,prediction_k1_5,False,0.026432597449815277,0.02149673060223769,1.2296101178782877,0.21884313934486455,0.788947876018062,False,0.02995122813714368,0.014048789254145988,63,2020-01-08,2020-04-17,4,3,0.9690794603473045,0.7965001651723156,15.0,0.05,63,0.012475521292865006
LM,d_psei_10d_vol_log,HP_L,3,prediction_k1_5,False,0.010559868881425937,0.018030396897579494,0.5856703510971273,0.5580970619794476,0.8945145048267266,False,0.005050545436931064,-0.011260101359184871,63,2020-01-08,2020-04-17,4,3,0.9807476117875545,0.7356147814600343,15.0,0.05,63,0.012740972094127657
LM,d_psei_10d_vol_log,HP_L,4,prediction_k1_5,False,0.00928255875695217,0.013549160790140905,0.6851021181848146,0.49327948371588626,0.8945145048267266,False,0.0035535338141293726,-0.01278165415613075,63,2020-01-08,2020-04-17,4,3,0.9577227828561606,0.6699214223403244,15.0,0.05,63,0.013069205253578697
LM,d_psei_10d_vol_log,HP_L,5,prediction_k1_5,False,-0.022783704140100457,0.014461568248155563,-1.5754656582979032,0.11514899929037196,0.788947876018062,False,0.02152361190739438,0.005483015381286038,63,2020-01-08,2020-04-17,4,3,0.9037527659530026,0.5902408475123926,15.0,0.05,63,0.010972536065729486
LM,d_psei_10d_vol_log,H_L,1,prediction_k1_5,False,0.008869191256554177,0.02016007758458283,0.4399383494107573,0.659981759584553,0.8945145048267266,False,0.0031093660375299814,-0.013233103371690813,63,2020-01-08,2020-04-17,4,3,0.9774611462877227,0.7480975832549404,15.0,0.05,63,0.011816916095329536
LM,d_psei_10d_vol_log,H_L,2,prediction_k1_5,False,0.029108130641471865,0.020677022587976105,1.4077525193786138,0.1592043643154223,0.788947876018062,False,0.03554502227635026,0.01973428493661833,63,2020-01-08,2020-04-17,4,3,0.988259279437531,0.7995664619939585,15.0,0.05,63,0.010926522073576455
LM,d_psei_10d_vol_log,H_L,3,prediction_k1_5,False,0.009139848625694981,0.017918061875153022,0.5100913641987814,0.6099874550127072,0.8945145048267266,False,0.0036704015961990244,-0.012662870508781232,63,2020-01-08,2020-04-17,4,3,0.9800386895288373,0.6955536223535268,15.0,0.05,63,0.012305256969682793
LM,d_psei_10d_vol_log,H_L,4,prediction_k1_5,False,-0.004172259262006227,0.018053127027236014,-0.2311100595321636,0.8172293002786442,0.8945145048267266,False,0.0007368113677458377,-0.015644552380323917,63,2020-01-08,2020-04-17,4,3,0.9874010028612966,0.7577710488819206,15.0,0.05,63,0.012186994917315593
LM,d_psei_10d_vol_log,H_L,5,prediction_k1_5,False,-0.00489330586285539,0.014055867429141122,-0.34813261348142877,0.7277405924432405,0.8945145048267266,False,0.0009868770144925154,-0.015390387296745356,63,2020-01-08,2020-04-17,4,3,0.9781700253470832,0.7181123740803677,15.0,0.05,63,0.01204069915760306
LM,d_psei_10d_vol_log,F_L,0,diagnostic_k0,False,-0.0030609024851327997,0.023605164759858674,-0.12967087992276846,0.8968268224652486,0.8968268224652486,False,0.0003477247759072766,-0.015271842024469073,66,2020-01-03,2020-04-17,4,3,0.9905403639105015,0.7470596938683899,1.0,0.05,66,0.00943427410837382
LM,d_psei_10d_vol_log,HP_L,0,diagnostic_k0,False,0.02052224781480255,0.025612277521261998,0.8012660255522388,0.42297765487998384,0.42297765487998384,False,0.015145381708823069,-0.0002429717019765132,66,2020-01-03,2020-04-17,4,3,0.9839905866470315,0.7549946785150597,1.0,0.05,66,0.00909538847449675
