dictionary,dv,segment,direction,maxlag,N,ssr_ftest_F,ssr_ftest_p,predictor,response
Correa,cds_logdiff,F_L,DV→Z,2,77,0.8599743558027179,0.42759482392022585,,
Correa,cds_logdiff,F_L,DV→Z,3,77,0.6696957988528164,0.5736116058307573,,
Correa,cds_logdiff,F_L,DV→Z,4,77,1.1217006467667239,0.35416016264170574,,
Correa,cds_logdiff,F_L,DV→Z,5,77,1.3723412467284366,0.24722283525173325,,
Correa,cds_logdiff,HP_L,DV→Z,1,77,1.5747149583945994,0.21352624659208524,,
Correa,cds_logdiff,HP_L,DV→Z,2,77,0.7633515667286752,0.4699418612458208,,
Correa,cds_logdiff,HP_L,DV→Z,3,77,0.520221204757935,0.6698222238389199,,
Correa,cds_logdiff,HP_L,DV→Z,4,77,0.7739067922302578,0.5462170465535603,,
Correa,cds_logdiff,HP_L,DV→Z,5,77,0.6788004308088744,0.6411542786877376,,
Correa,cds_logdiff,H_L,DV→Z,1,77,1.9919440912520214,0.16238574573242043,,
Correa,cds_logdiff,H_L,DV→Z,2,77,1.0606945140238482,0.3517130755775374,,
Correa,cds_logdiff,H_L,DV→Z,3,77,0.7045293310610656,0.5526558833063852,,
Correa,cds_logdiff,H_L,DV→Z,4,77,1.1182035186325245,0.35577946497182444,,
Correa,cds_logdiff,H_L,DV→Z,5,77,1.2095562015409034,0.3154944156807696,,
Correa,fx_ret,F_L,Z→DV,1,67,0.5446486687021966,0.4632527516863898,,
Correa,fx_ret,F_L,Z→DV,2,67,0.6237141864466543,0.539388592402698,,
Correa,fx_ret,F_L,Z→DV,3,67,0.3555500287292545,0.7852920220552722,,
Correa,fx_ret,F_L,Z→DV,4,67,0.29609630483422145,0.879242710805662,,
Correa,fx_ret,F_L,Z→DV,5,67,0.4654409803443719,0.8001367886573585,,
Correa,fx_ret,HP_L,Z→DV,1,67,1.9449798005382868,0.16802719236497868,,
Correa,fx_ret,HP_L,Z→DV,2,67,0.9678932616814638,0.38573389195858265,,
Correa,fx_ret,HP_L,Z→DV,3,67,0.8105223545466964,0.49330051714144274,,
Correa,fx_ret,HP_L,Z→DV,4,67,0.6826541993474372,0.6070292956236953,,
Correa,fx_ret,HP_L,Z→DV,5,67,0.8909185668326638,0.494187121707254,,
Correa,fx_ret,H_L,Z→DV,1,67,1.5972759301142434,0.21094615993792887,,
Correa,fx_ret,H_L,Z→DV,2,67,0.7815787909522699,0.4622861785410127,,
Correa,fx_ret,H_L,Z→DV,3,67,0.5655918113885732,0.6399313917018633,,
Correa,fx_ret,H_L,Z→DV,4,67,0.38230812467393405,0.8203196694672845,,
Correa,fx_ret,H_L,Z→DV,5,67,0.6948468757934186,0.629718126264482,,
Correa,fx_ret,F_L,DV→Z,1,67,2.0857110517658413,0.15363803234508414,,
Correa,fx_ret,F_L,DV→Z,2,67,1.4053384205622739,0.253240586872409,,
Correa,fx_ret,F_L,DV→Z,3,67,0.6746830832741884,0.5711185830353139,,
Correa,fx_ret,F_L,DV→Z,4,67,0.633519922151324,0.640756962113681,,
Correa,fx_ret,F_L,DV→Z,5,67,0.549617350142474,0.7378311055780638,,
Correa,fx_ret,HP_L,DV→Z,1,67,0.005200426402417169,0.9427396537190025,,
Correa,fx_ret,HP_L,DV→Z,2,67,0.0733710989656077,0.9293391628296487,,
Correa,fx_ret,HP_L,DV→Z,3,67,0.3876721494579432,0.762295649654093,,
Correa,fx_ret,HP_L,DV→Z,4,67,0.5189891889331052,0.722093641585065,,
Correa,fx_ret,HP_L,DV→Z,5,67,0.170348360086723,0.9724083307431901,,
Correa,fx_ret,H_L,DV→Z,1,67,0.04510063404813943,0.8325047184686623,,
Correa,fx_ret,H_L,DV→Z,2,67,0.14709585960486604,0.8635215594296003,,
Correa,fx_ret,H_L,DV→Z,3,67,0.500643383448311,0.683340456304029,,
Correa,fx_ret,H_L,DV→Z,4,67,0.44264511895994957,0.7772256034360835,,
Correa,fx_ret,H_L,DV→Z,5,67,0.24520445583734532,0.9403210391229441,,
Correa,d_vix_log,F_L,Z→DV,1,70,0.2597689259157526,0.6119790400341034,,
Correa,d_vix_log,F_L,Z→DV,2,70,0.09215875031785314,0.9120830773868787,,
Correa,d_vix_log,F_L,Z→DV,3,70,0.8579398735697032,0.467939905203266,,
Correa,d_vix_log,F_L,Z→DV,4,70,0.670932980577962,0.614842630341468,,
Correa,d_vix_log,F_L,Z→DV,5,70,0.5237829224011143,0.7571977645232155,,
Correa,d_vix_log,HP_L,Z→DV,1,70,0.48916541324984736,0.4867575265575048,,
Correa,d_vix_log,HP_L,Z→DV,2,70,2.2353358771403857,0.11537287979558768,,
Correa,d_vix_log,HP_L,Z→DV,3,70,1.0506857171779609,0.3768554222155193,,
